Tiempo_s,Tension_1_N,Tension_2_N,Tension_3_N,Tension_4_N
29.539,158.74,147.16,112.82,167.93
29.586,158.76,147.08,112.90,161.94
29.646,158.77,147.05,112.93,161.09
29.689,158.78,146.95,123.50,158.66
29.736,158.78,146.89,130.52,158.08
29.796,158.78,146.89,130.52,158.08
29.842,158.78,146.85,133.50,158.10
29.891,158.78,146.78,209.18,101.18
29.936,177.18,146.60,148.79,101.18
29.992,179.14,146.56,148.96,101.19
30.050,182.38,146.48,150.51,101.20
30.097,185.50,146.40,151.63,101.21
30.143,180.85,148.96,113.58,101.24
30.187,166.06,149.81,113.73,101.34
30.237,166.02,146.43,113.77,101.37
30.291,164.47,145.89,113.95,116.24
30.338,163.04,145.82,114.00,118.62
30.388,158.19,159.89,114.05,148.75
30.440,158.00,171.62,114.20,178.10
30.490,157.79,166.90,114.37,169.19
30.541,157.64,163.91,114.49,161.05
30.589,157.56,162.95,114.55,158.00
30.640,157.22,169.01,114.81,172.31
30.690,157.13,169.04,114.88,170.70
30.742,156.95,170.30,115.03,169.22
30.786,156.76,172.53,115.18,170.50
30.842,156.66,173.85,116.88,172.16
30.886,156.36,176.29,137.99,182.88
30.939,156.05,180.87,150.62,197.20
30.988,155.94,182.61,153.60,202.68
31.041,155.73,186.29,157.98,214.10
31.089,155.63,188.21,159.49,219.95
31.139,155.53,172.13,201.07,250.86
31.187,155.32,169.16,211.53,263.40
31.235,155.22,175.67,208.76,271.38
31.285,154.94,181.80,203.21,276.65
31.350,154.77,188.00,192.11,280.91
31.387,154.62,185.95,188.10,281.20
31.435,154.40,183.06,181.61,286.46
31.485,154.34,182.35,177.69,284.87
31.535,154.22,181.95,168.35,279.13
31.589,154.17,181.64,163.34,275.95
31.648,154.07,177.66,158.43,273.50
31.693,154.02,176.61,154.71,271.39
31.735,153.90,174.89,147.63,267.88
31.789,153.81,168.73,137.82,259.70
31.840,153.81,168.73,137.82,259.70
31.887,153.78,167.09,136.49,257.41
31.944,153.76,166.04,135.04,255.14
31.986,153.74,165.19,133.87,253.28
32.036,153.65,150.81,140.25,242.52
32.085,153.64,148.98,140.58,241.75
32.140,153.64,146.50,141.33,239.87
32.196,153.64,142.17,143.21,235.36
32.242,153.65,139.44,146.34,229.30
32.288,153.68,139.25,144.47,225.32
32.339,153.70,139.12,142.60,221.84
32.413,153.73,138.99,140.34,217.96
32.443,153.76,138.93,142.82,213.19
32.485,153.80,138.69,136.57,206.64
32.553,153.83,138.57,133.14,205.45
32.585,153.83,138.57,133.14,204.41
32.636,153.88,138.39,128.47,202.71
32.697,153.91,138.27,129.62,200.24
32.737,153.92,138.21,128.79,200.52
32.802,153.97,138.04,127.09,202.88
32.853,154.00,137.92,126.93,205.28
32.889,154.03,137.80,124.34,210.16
32.942,154.06,137.69,129.84,210.04
32.995,154.13,137.46,134.75,214.01
33.037,154.17,137.36,137.21,215.36
33.100,154.22,137.25,139.44,216.03
33.145,154.30,137.11,141.85,215.56
33.192,154.39,136.97,143.84,212.64
33.243,154.43,136.93,143.89,211.65
33.292,154.54,136.80,143.40,209.22
33.346,154.58,136.80,143.40,207.86
33.392,225.86,136.70,122.41,104.45
33.446,214.02,136.59,122.53,104.36
33.488,198.42,136.47,122.67,104.29
33.539,177.62,136.39,122.77,104.26
33.588,177.80,136.34,122.81,104.25
33.638,180.01,136.20,122.97,104.22
33.693,182.74,136.09,123.08,104.21
33.739,183.61,135.98,123.19,104.22
33.785,183.61,135.98,123.19,104.22
33.851,154.86,158.91,123.49,193.26
33.893,154.81,165.40,123.68,193.91
33.945,154.77,167.56,123.81,190.71
34.004,154.73,149.51,123.94,209.27
34.035,154.71,151.00,124.01,224.94
34.090,154.66,156.65,124.14,210.22
34.145,154.62,160.29,124.28,195.97
34.187,154.58,161.89,124.42,183.17
34.237,154.53,149.79,124.56,199.93
34.289,154.50,149.08,124.63,195.33
34.338,154.45,148.45,124.78,186.80
34.395,154.36,149.37,134.50,175.42
34.440,154.30,149.27,142.31,171.62
34.491,154.27,148.83,145.62,171.16
34.536,154.10,142.93,154.17,181.89
34.601,153.99,140.17,157.58,192.42
34.651,153.96,139.47,158.63,192.42
34.691,153.89,137.99,160.16,203.35
34.748,153.82,136.66,161.40,209.89
34.789,153.76,135.02,161.84,212.90
34.838,153.70,133.15,161.63,220.28
34.888,153.68,132.61,161.21,222.38
34.935,153.63,132.50,159.20,226.87
34.987,153.59,132.40,156.49,230.43
35.041,153.55,132.26,151.64,234.17
35.091,153.53,132.18,148.02,236.21
35.145,153.52,132.10,144.40,238.20
35.186,153.52,132.07,142.46,239.44
35.238,153.53,131.99,137.18,243.74
35.295,153.57,131.90,132.18,251.09
35.338,153.59,131.88,131.50,253.06
35.389,153.61,131.87,131.06,255.01
35.445,153.65,135.86,127.33,201.02
35.488,174.41,144.74,127.37,105.35
35.539,189.88,132.69,127.40,105.30
35.596,216.15,131.76,127.48,105.22
35.638,310.97,131.73,127.52,105.20
35.689,212.15,131.66,127.57,145.67
35.742,210.47,131.63,127.62,156.24
35.792,207.83,131.54,127.71,164.90
35.846,153.77,131.43,185.99,241.30
35.895,153.72,131.36,172.45,241.84
35.945,153.65,131.26,176.44,224.14
35.985,153.63,131.23,177.54,219.38
36.037,153.57,131.15,182.30,207.23
36.090,153.53,131.11,139.25,225.47
36.150,153.49,131.07,150.58,214.51
36.186,153.48,131.05,156.39,210.12
36.238,153.44,131.02,167.48,203.86
36.285,153.39,130.98,181.61,200.66
36.347,153.36,130.97,168.70,210.22
36.386,153.34,130.97,172.11,210.84
36.436,153.32,130.97,180.10,210.44
36.489,153.30,130.99,187.98,211.19
36.542,153.29,131.00,189.28,211.65
36.586,153.28,131.03,176.29,204.91
36.637,153.28,131.06,168.03,199.63
36.686,153.29,131.14,159.47,194.76
36.748,153.31,131.28,149.97,190.12
36.791,153.31,131.28,146.69,188.63
36.836,153.32,131.32,143.52,187.22
36.886,153.34,131.40,127.69,110.09
36.937,153.38,131.54,127.55,115.28
36.996,153.40,131.68,127.40,136.52
37.052,153.40,131.72,127.35,143.46
37.087,153.41,131.82,127.25,171.85
37.137,153.41,131.96,127.10,185.98
37.206,153.41,132.00,127.05,185.98
37.242,153.41,132.00,127.05,189.83
37.313,153.41,132.10,126.94,191.39
37.340,153.41,132.20,126.84,194.06
37.387,153.41,132.31,126.73,192.93
37.436,153.42,132.86,126.57,190.15
37.489,153.43,145.68,126.46,196.41
37.540,153.44,161.99,126.30,202.77
37.608,153.46,168.00,126.03,198.41
37.635,153.46,165.41,125.93,194.95
37.686,153.47,160.79,125.79,188.27
37.737,153.46,158.17,125.70,184.26
37.787,153.46,154.33,125.65,178.41
37.838,153.46,153.73,125.61,176.30
37.887,153.45,153.05,125.52,175.10
37.940,153.43,153.58,125.44,175.83
37.989,153.40,159.73,125.33,208.37
38.042,153.38,156.02,125.25,203.43
38.087,153.36,159.46,125.22,205.10
38.138,153.34,163.21,125.18,206.96
38.191,153.31,174.20,132.21,214.63
38.241,153.30,177.81,135.35,217.74
38.289,153.27,164.17,162.18,201.79
38.341,153.25,169.36,168.18,208.21
38.386,153.24,171.02,170.60,211.03
38.442,153.21,174.84,173.66,218.91
38.493,153.19,158.24,186.90,210.44
38.539,153.18,157.09,185.39,204.21
38.590,153.17,153.62,178.55,202.37
38.647,153.17,151.18,175.58,200.30
38.692,153.18,134.39,178.77,179.94
38.736,153.20,134.52,167.18,172.49
38.789,153.21,134.62,160.70,166.65
38.848,153.23,134.72,155.96,160.36
38.891,153.24,134.78,155.96,160.36
38.942,153.28,134.96,167.03,147.11
38.987,153.31,135.02,167.62,145.69
39.040,153.33,135.15,170.20,144.08
39.129,153.41,143.85,178.59,152.77
39.141,153.44,153.25,179.79,163.01
39.189,169.84,176.72,182.13,183.61
39.235,172.59,176.72,182.13,185.87
39.285,176.74,180.76,178.74,185.70
39.335,175.39,178.94,175.32,180.50
39.394,179.73,155.10,201.89,151.55
39.441,173.77,152.99,192.19,148.55
39.488,164.67,150.30,177.14,145.50
39.541,159.83,149.03,169.13,144.18
39.589,157.91,148.70,165.78,143.89
39.640,153.48,218.35,121.20,214.95
39.688,153.44,212.55,121.05,207.81
39.737,153.42,210.60,120.98,205.80
39.788,153.37,208.42,120.91,204.83
39.839,153.34,208.30,120.78,205.58
39.886,225.84,242.37,120.65,149.10
39.952,227.79,249.00,120.48,161.39
39.990,221.00,252.19,120.34,184.10
40.040,216.63,252.67,120.30,190.85
40.092,211.76,252.75,120.26,196.67
40.135,215.57,228.71,120.20,169.95
40.195,204.02,208.80,122.94,162.33
40.238,189.18,207.08,125.79,168.99
40.304,166.89,205.16,126.71,175.07
40.344,160.30,203.58,126.43,177.55
40.388,152.22,196.93,124.06,182.58
40.444,152.07,167.88,148.92,168.54
40.490,151.99,167.44,148.17,168.88
40.540,151.84,168.81,145.59,170.03
40.588,151.54,173.15,140.20,174.46
40.643,151.46,167.53,143.35,167.98
40.686,151.31,168.27,143.77,172.27
40.736,151.15,171.76,142.84,175.09
40.789,151.08,173.52,141.21,181.47
40.854,150.85,178.28,139.55,191.79
40.886,150.77,179.51,139.31,194.88
40.935,150.55,168.62,194.50,267.69
40.987,150.35,175.60,188.91,254.82
41.041,150.23,176.38,186.17,251.22
41.092,150.12,174.70,177.73,239.12
41.140,150.06,166.58,174.06,213.28
41.185,149.91,158.89,162.75,193.00
41.246,149.86,156.26,160.48,190.37
41.286,149.81,153.61,158.56,187.68
41.339,149.66,143.98,148.98,166.46
41.389,149.61,142.24,143.69,159.53
41.440,149.51,138.12,141.49,155.43
41.498,149.40,138.11,139.17,155.96
41.559,149.18,138.08,137.75,159.07
41.587,149.12,138.07,130.82,151.46
41.650,148.94,138.05,132.29,157.35
41.690,148.88,138.04,133.21,159.85
41.740,148.76,138.02,135.38,165.32
41.791,148.63,138.00,137.83,170.75
41.863,148.50,137.98,137.37,168.93
41.913,148.36,137.97,137.82,172.18
41.938,148.10,137.94,141.20,180.91
41.991,147.90,137.92,143.11,185.05
42.040,147.78,137.91,143.85,186.76
42.085,155.34,137.91,143.87,179.02
42.149,153.57,137.90,143.71,180.21
42.191,150.76,137.91,142.91,181.12
42.241,149.18,137.91,142.36,181.52
42.285,147.24,137.92,141.73,181.92
42.339,150.40,137.93,141.35,175.73
42.389,147.40,137.94,139.57,175.92
42.442,146.92,137.96,139.32,176.44
42.487,146.81,137.98,139.23,178.65
42.539,146.71,138.00,139.39,180.36
42.590,146.62,138.03,139.63,182.13
42.643,146.57,138.04,139.30,177.10
42.687,146.48,138.07,139.19,179.38
42.736,146.43,138.08,138.98,180.79
42.786,146.31,138.13,138.08,184.78
42.839,146.22,138.16,138.12,181.56
42.888,146.14,138.20,136.66,183.19
42.938,146.03,140.98,132.98,186.97
42.985,145.92,146.93,128.23,190.54
43.035,145.88,148.27,126.80,190.98
43.101,145.78,158.27,125.35,225.69
43.138,145.74,158.68,124.79,218.71
43.185,145.71,158.74,124.30,215.67
43.244,145.68,158.60,123.88,212.51
43.287,145.53,156.68,122.88,200.83
43.336,145.53,156.02,122.83,198.57
43.394,145.47,154.71,123.17,194.88
43.437,145.41,153.55,124.31,192.01
43.487,145.27,151.83,129.78,190.40
43.535,145.21,151.69,132.55,191.98
43.601,145.18,149.42,133.07,183.92
43.639,145.18,149.42,133.07,183.92
43.693,145.10,151.18,135.69,189.25
43.743,145.05,151.34,139.09,192.95
43.798,144.97,151.10,143.90,197.01
43.836,144.95,150.82,145.27,197.80
43.887,144.91,151.52,145.37,198.45
43.944,144.85,148.88,147.87,197.02
43.995,146.05,146.65,149.19,194.45
44.042,146.29,144.09,149.61,190.90
44.093,148.62,142.70,149.75,186.23
44.141,147.42,139.97,149.15,181.91
44.185,144.73,138.28,146.74,174.98
44.239,144.73,138.28,146.30,173.71
44.285,144.72,138.30,145.66,171.68
44.343,144.72,138.31,145.55,170.84
44.386,145.87,138.33,146.46,168.25
44.440,146.77,138.35,147.03,167.70
44.492,147.45,138.36,148.75,167.17
44.546,149.17,138.39,151.44,167.04
44.589,153.38,138.42,156.38,167.28
44.637,159.09,146.09,163.36,172.01
44.687,160.91,148.76,164.68,173.74
44.743,164.29,153.66,166.69,176.94
44.789,167.05,157.83,167.93,179.45
44.838,170.01,159.17,170.73,179.27
44.886,170.48,160.44,170.40,179.71
44.935,169.46,163.04,166.24,179.01
44.999,167.50,162.75,163.03,177.28
45.040,164.81,161.75,159.36,174.94
45.094,161.52,158.28,157.99,171.86
45.138,158.40,156.93,154.13,169.53
45.194,155.49,155.76,150.69,167.55
45.248,153.08,154.98,147.98,166.18
45.285,152.12,154.79,146.94,165.78
45.337,151.24,153.30,147.70,164.52
45.390,150.62,154.97,147.46,166.10
45.437,151.67,158.66,149.10,170.08
45.489,152.40,160.10,150.10,171.73
45.535,153.25,161.62,151.29,173.49
45.593,157.15,165.56,157.09,177.93
45.662,158.98,168.65,160.36,181.84
45.694,160.21,171.17,163.18,185.33
45.737,160.36,173.25,166.92,189.54
45.792,160.41,171.81,168.42,188.21
45.835,158.16,170.12,167.93,187.47
45.885,155.18,167.56,166.56,185.79
45.949,153.52,166.04,165.63,184.63
45.992,147.30,158.21,161.69,177.18
46.038,144.43,154.72,159.30,173.67
46.110,144.42,151.55,157.42,168.96
46.148,144.42,150.26,156.37,166.00
46.188,144.42,150.29,156.26,165.54
46.237,144.43,157.36,149.46,167.13
46.299,144.44,157.78,150.65,167.88
46.338,144.44,158.13,151.38,168.48
46.396,144.45,159.12,152.92,170.01
46.452,147.80,161.81,154.98,171.69
46.490,151.13,162.81,160.59,173.67
46.537,152.78,163.95,161.63,174.13
46.600,156.69,166.66,163.61,174.57
46.638,158.59,167.67,163.61,173.30
46.689,158.13,166.12,163.82,171.65
46.742,157.28,165.00,161.92,169.27
46.789,157.28,165.00,161.92,169.27
46.835,156.60,164.24,160.74,167.96
46.900,153.74,161.22,156.58,163.51
46.968,151.15,157.84,154.64,160.18
46.985,148.85,155.46,151.97,157.38
47.035,146.94,153.41,148.92,154.95
47.092,145.88,152.45,147.98,154.28
47.148,145.33,151.14,147.55,153.34
47.198,145.96,152.43,148.87,154.75
47.240,147.25,154.45,151.09,158.56
47.293,152.03,160.82,158.78,167.49
47.335,154.73,163.00,161.93,169.74
47.388,155.43,163.91,161.93,169.74
47.448,156.32,165.33,165.77,174.21
47.486,156.45,165.76,166.75,175.41
47.537,156.22,165.98,168.18,177.21
47.585,155.12,165.26,168.70,178.01
47.635,153.17,165.02,166.81,176.92
47.694,148.96,159.97,163.55,174.22
47.740,146.08,156.88,161.53,172.18
47.791,144.71,155.42,160.48,171.10
47.843,144.22,152.25,158.67,167.58
47.887,144.22,152.25,158.67,167.58
47.947,144.21,150.66,156.68,164.10
47.987,144.21,150.12,156.08,162.97
48.041,144.21,150.65,155.83,162.88
48.087,144.21,151.11,155.89,163.26
48.137,144.21,153.07,156.27,165.13
48.185,144.22,155.56,156.88,168.14
48.236,144.81,157.29,157.06,169.16
48.285,148.01,159.57,158.87,171.67
48.335,149.52,160.64,159.49,172.25
48.385,151.84,161.21,160.42,172.82
48.445,154.49,163.37,161.12,173.12
48.498,154.98,164.02,160.70,172.39
48.536,155.24,164.07,160.25,171.73
48.587,154.79,163.35,159.04,170.22
48.635,152.61,160.48,154.78,165.10
48.691,151.78,159.49,153.55,163.64
48.739,149.98,157.41,151.18,160.83
48.785,149.11,156.43,150.15,159.63
48.839,146.71,153.83,147.57,156.75
48.889,145.36,152.15,146.45,155.32
48.944,145.21,151.94,146.51,155.30
48.989,147.61,154.18,151.09,159.61
49.045,148.10,157.84,151.25,164.24
49.092,149.08,158.66,152.83,165.51
49.138,151.03,160.32,156.08,168.13
49.196,153.58,162.48,160.74,172.05
49.255,155.64,165.15,161.53,174.18
49.296,155.76,165.34,163.59,175.83
49.352,154.99,164.18,165.45,176.91
49.394,153.58,162.58,165.65,176.67
49.438,151.60,160.41,165.08,175.72
49.495,150.99,161.06,162.37,174.87
49.539,149.80,159.79,161.71,174.06
49.588,148.54,158.45,160.93,173.15
49.640,144.02,151.70,157.47,167.86
49.689,144.01,150.05,156.78,165.89
49.741,144.01,149.56,156.53,165.12
49.788,144.01,150.77,154.28,164.39
49.835,144.02,150.87,154.13,163.97
49.892,144.02,151.32,154.32,164.21
49.940,144.02,151.67,154.48,164.59
49.992,145.95,175.47,124.70,164.59
50.041,147.67,177.02,125.84,164.49
50.087,151.88,178.80,128.36,167.40
50.135,159.38,176.67,140.75,170.46
50.187,160.01,176.45,142.72,171.13
50.240,158.60,181.06,139.22,175.07
50.290,156.99,184.73,135.23,177.90
50.343,155.55,179.31,138.27,174.24
50.389,153.98,175.35,139.52,171.08
50.436,148.50,180.08,127.05,172.93
50.489,146.66,175.46,128.42,169.59
50.536,144.80,171.39,129.61,166.98
50.586,144.80,171.39,129.61,166.98
50.637,143.94,168.28,131.02,165.17
50.693,143.91,173.93,123.95,166.96
50.736,143.86,176.37,122.79,169.37
50.786,143.83,174.85,126.71,170.04
50.836,143.81,174.21,128.83,170.63
50.897,143.79,173.74,130.97,171.44
50.937,143.73,187.85,121.45,179.63
50.989,143.66,188.16,128.38,184.28
51.042,143.62,186.84,134.54,186.81
51.088,143.60,185.97,137.71,187.99
51.136,143.53,190.27,138.36,192.36
51.201,143.47,186.35,143.07,193.45
51.235,143.43,182.42,147.35,193.60
51.292,143.34,172.37,155.19,188.41
51.346,143.33,178.12,147.45,187.65
51.386,143.30,174.63,148.65,184.87
51.437,143.27,170.83,149.98,181.71
51.488,143.25,167.30,151.19,178.87
51.536,143.24,164.42,152.34,176.50
51.588,143.23,163.30,152.90,175.57
51.638,143.22,136.46,258.59,237.94
51.687,143.21,136.26,250.25,228.32
51.751,143.23,136.15,241.54,219.52
51.793,143.24,136.10,237.38,215.27
51.838,143.27,136.02,203.49,201.14
51.893,143.32,145.96,179.96,192.25
51.936,143.41,151.61,170.84,184.84
52.028,143.48,152.90,169.97,182.28
52.072,143.52,153.80,169.40,179.76
52.093,143.64,164.32,153.88,172.31
52.137,143.68,166.93,146.36,168.91
52.194,143.80,159.41,145.98,164.64
52.247,143.84,156.11,146.46,159.76
52.292,143.91,155.04,141.75,158.97
52.339,144.03,146.62,141.73,151.13
52.386,144.17,135.66,145.14,141.25
52.443,144.27,135.41,146.78,139.19
52.486,144.30,135.39,147.23,138.90
52.536,144.41,135.30,141.46,139.17
52.587,144.44,135.28,142.38,139.62
52.639,144.49,135.23,144.25,141.00
52.685,144.53,135.19,146.10,142.97
52.743,144.55,135.17,147.02,144.16
52.788,144.57,135.14,147.92,145.42
52.839,144.62,135.86,142.33,146.92
52.887,144.65,137.11,144.27,148.60
52.942,144.73,140.75,148.59,157.91
52.991,144.76,142.37,149.35,159.66
53.037,144.76,142.37,149.94,161.29
53.085,144.82,134.87,267.44,226.27
53.136,144.89,134.84,248.88,224.53
53.194,144.92,134.83,242.11,222.09
53.243,145.03,134.85,224.09,212.87
53.286,145.11,134.87,187.71,221.49
53.340,145.16,134.89,185.81,215.92
53.392,145.26,134.93,182.63,204.88
53.435,145.37,134.96,180.96,199.67
53.493,145.43,135.01,177.18,190.10
53.541,145.61,164.35,149.43,207.72
53.594,145.68,166.38,146.60,206.34
53.650,145.88,169.85,140.07,201.83
53.691,146.02,168.90,137.90,198.97
53.745,146.24,167.09,135.11,196.21
53.801,146.46,182.11,122.18,206.80
53.841,146.69,179.42,122.12,205.36
53.891,146.69,177.72,122.09,204.32
53.935,146.85,174.39,122.04,202.07
53.987,147.01,171.06,121.99,199.56
54.046,147.24,174.05,121.92,201.86
54.085,147.40,172.08,121.90,200.09
54.141,147.48,167.89,121.86,196.13
54.186,147.64,163.94,121.82,191.98
54.243,147.80,160.12,121.79,187.73
54.285,148.04,160.34,121.75,192.35
54.339,148.20,157.92,121.73,187.89
54.400,148.44,154.49,121.71,181.87
54.435,148.60,152.87,121.70,180.33
54.489,148.76,156.96,121.69,186.06
54.536,148.91,156.24,121.68,184.64
54.587,148.99,155.94,121.68,183.87
54.635,149.07,155.74,121.68,183.23
54.686,149.15,155.63,121.68,182.73
54.735,149.38,160.38,121.69,190.36
54.788,149.61,161.12,121.70,189.63
54.844,149.92,161.04,121.73,187.66
54.887,149.99,160.84,121.74,187.66
54.944,150.15,160.27,121.76,185.74
54.985,150.30,164.50,121.78,193.36
55.074,150.46,163.02,121.81,190.53
55.086,150.54,162.11,121.82,188.91
55.136,150.78,159.06,121.87,183.75
55.188,151.01,161.10,121.91,180.45
55.240,151.17,159.07,121.93,186.78
55.285,151.33,156.81,121.99,181.93
55.350,151.41,155.89,122.01,180.35
55.395,151.65,153.68,122.04,177.59
55.440,151.73,153.13,122.09,175.55
55.486,151.89,157.27,122.13,184.08
55.545,151.97,156.88,122.15,183.46
55.591,152.13,156.02,122.19,181.89
55.651,152.29,155.33,122.24,180.65
55.692,152.37,155.06,122.26,180.20
55.735,152.53,154.12,125.48,179.73
55.790,152.78,142.60,122.36,106.02
55.854,162.85,142.37,122.47,124.63
55.885,165.90,142.86,122.50,128.62
55.936,167.61,144.64,122.59,137.82
55.985,167.61,144.64,122.59,137.82
56.059,153.37,137.99,122.66,151.22
56.090,153.48,138.69,122.73,152.72
56.136,153.69,140.33,128.11,151.40
56.188,153.74,140.30,130.13,150.96
56.236,153.79,140.25,132.06,150.49
56.289,153.92,137.98,141.75,150.32
56.335,154.05,138.43,145.16,149.96
56.387,154.08,138.65,146.12,150.10
56.452,154.23,140.19,150.02,152.14
56.486,154.32,144.42,151.98,159.50
56.537,154.38,145.88,154.60,161.69
56.589,154.40,146.64,155.89,162.92
56.639,157.33,149.04,159.15,165.74
56.690,155.88,155.31,159.43,176.28
56.736,157.33,156.33,161.02,177.63
56.786,159.90,158.10,162.66,178.74
56.843,162.33,160.04,167.86,182.38
56.907,162.83,160.70,169.31,183.62
56.935,162.41,160.78,169.97,184.39
56.993,161.89,160.63,169.97,184.39
57.036,157.36,163.13,165.39,189.12
57.085,156.71,162.58,165.27,188.79
57.136,154.87,160.16,164.29,187.08
57.185,154.89,159.50,163.96,186.39
57.268,154.96,163.06,153.97,185.03
57.288,155.01,162.21,153.51,184.45
57.336,155.03,161.71,153.22,183.48
57.385,155.12,160.95,153.54,183.10
57.436,155.12,160.95,153.54,183.31
57.492,155.17,164.25,149.00,183.66
57.539,155.21,165.25,147.14,181.35
57.585,155.26,166.74,147.54,183.62
57.645,155.31,168.03,148.15,186.47
57.702,155.35,169.35,148.64,189.22
57.741,155.35,169.35,148.64,189.22
57.792,155.39,172.86,144.67,190.94
57.839,160.19,175.06,143.65,188.82
57.899,161.44,176.30,143.58,190.77
57.935,161.39,176.45,143.02,191.58
57.996,167.27,179.58,136.79,186.02
58.035,165.22,178.14,135.77,184.80
58.095,162.44,176.16,134.76,183.39
58.136,160.92,175.07,134.24,182.54
58.188,155.70,170.82,132.64,178.92
58.247,161.00,173.25,126.77,172.06
58.295,157.31,170.46,127.77,171.80
58.368,155.72,169.30,129.32,172.40
58.400,155.72,169.10,130.44,172.91
58.441,155.71,169.04,133.08,174.34
58.492,162.34,173.87,128.89,169.99
58.542,161.70,174.22,132.53,172.70
58.588,161.35,174.30,134.59,174.38
58.646,160.69,174.53,139.02,177.87
58.692,160.05,174.82,143.63,181.25
